,project,commit_hash,compose_file,other_file,comment,,Unclear,Not related,new dockerfile,dockerhub to local or vice-versa,add a resource in dockerfile and run it in docker-compose,dockerfile to control existing components,remove a component,changing paths,pining versions,externalisatoin,generalization of a component ,redefinition of env,synchronize configs
11478,13643480/tugbot,b7d32ac146dabe99f47be2d9deb6c2350022e691,docker-compose,dockerfile,created dockerfile and docker-compose that uses that dockerfile,,,,1,,,,,,,,,,
77735,4488422/Drones-Simulator,53d790a10e7030ad1a5c0fe4e64a1adc5749a2c4,docker-compose,dockerfile,they move to build images from local dockerfile rather than using dockerhub ,,,,,1,,,,,,,,,
14013,1592420/tfk-api-postnummer,2febc021e1fa9ec24bf356623e56bcb67ee2b362,docker-compose,dockerfile,,not related,,1,,,,,,,,,,,
24358,28084340/spring-angular2-starter,158963af4e4c82f53bf79911d033c4b89a708c1f,docker-compose,dockerfile,,not related ; added docker support,,1,,,,,,,,,,,
62059,2109549/docker-postgresplus,93b291b86cf28bdd5cdf5f2d0b23c15df5c0a044,docker-compose,dockerfile,,not related,,1,,,,,,,,,,,
69454,33798404/vitalizer,6c1b9984de85955b4d57f0be63d9f9511f01a680,docker-compose,dockerfile,,,1,,,,,,,,,,,,
1758,10287804/spring-angular2-starter,e960bdf12bffad122e31c303c19788861cbbceaf,docker-compose,dockerfile,"they add a script inside a container using dockerfile, and run that script from docker-compose as an entrypoint",,,,,,1,,,,,,,,
3001,1066909/libfuzzerfication,c296e999714e7e0c8c10bf411ca06baa5c410cd4,docker-compose,dockerfile,,"huge change, doesn't seem to be related",,1,,,,,,,,,,,
73831,3654428/spring-microservices-architecture,cf3e9b510ac420f00a0982912440971b528a5876,docker-compose,dockerfile,the dockerfile is for a component that acts as a router for two components that are added in the docker-compose,,,,,,,1,,,,,,,
9026,12667555/preparedness-for-resilience,e47dc0e465bb98746df2fc7f5e7f25df1ff55f95,docker-compose,dockerfile,,"not related, they upgrade a version in dockerfile and add a volume in docker-compose",,1,,,,,,,,,,,
26228,3012012/points-extraction,67f495e65389c9c9d6e104a585b6d4e3c3194f1c,docker-compose,dockerfile,,not clear,1,,,,,,,,,,,,
18248,2049524/quantum,5d6b4cda9ecbd041963a20c091a12d23f15f4167,docker-compose,dockerfile,"they add a script that executes a command line, copy that file using dockerfile, and code the entrypoint that executes that new script in docker-compose",,,,,,1,,,,,,,,
49801,831624/sithmail-tipbot,77a6b408cc1614f7aa2faf3b4b727ecdf2b1a0ee,docker-compose,dockerfile,,,1,,,,,,,,,,,,
75520,38053998/openrepl,459a557e6ac49e39a98ff15d58c0e48541388254,docker-compose,dockerfile,,not clear,1,,,,,,,,,,,,
71241,34714200/grenouilleAPI,e8602a3ddb1e827b1b766c13feae6d380b6b1fba,docker-compose,dockerfile,they removed a component that was built manually from a dockerfile,,,,,,,,1,,,,,,
16806,1869444/krihelinator,a6b1c24042fcae870a0c1e8209fd567454d700c8,docker-compose,dockerfile,they moved from docker image in dockerhub to an image built from a dockerfile,,,,,1,,,,,,,,,
8747,12333688/pubkey.sh,2935ca141b53d3095e59a94ef8f883e71ebf3b2f,docker-compose,dockerfile,they created a dockerfile and build it from docker-compose,,,,1,,,,,,,,,,
