url,image_count,comment,provide-IT-env for others,multi-component,microservices,have a test,Infrastructure for a field: all the tool necessary for something,"Duplicate images, but different configs",
https://api.github.com/repos/Codewars/codewars-runner-cli,78,"the docker-compose provides different environments, each of which is used to deploy and test a code in a given programming languages. Therefore, the project needs multiple environments, each of which is for a given programming language",programming languages,0,0,1,0,,
https://api.github.com/repos/BHITS/Consent2Share,37,"Microservices application. There are services that have the same image, but are invoked by different services. The database example, each service has his own database",0,1,1,0,0,,
https://api.github.com/repos/dceoy/docker-bio,36,a set of applications that are related to biometrics. Not sure if they depend on each other,0,0,0,0,biometric,,
https://api.github.com/repos/NoteGio/openrelay,32,Microservices application. Each service uses a different image,0,1,1,0,0,,
https://api.github.com/repos/slidewiki/slidewiki-deployment,29,Microservices application,0,1,1,0,0,,
https://api.github.com/repos/iMartinezMateu/gamecraft,29,"Microservices application that provides a platform for CI of minecraft games. They have different services that use the same image, but each service is invoked from a different component. In other words, each component uses a mysql database that is stored in a different environment",0,1,1,0,0,,
https://api.github.com/repos/osm2vectortiles/osm2vectortiles,25,"Microservices application for maps. Many services use the same image, but with different configurations; in particular the data and the commands (''command'' option)",0,1,1,0,0,1,
https://api.github.com/repos/osm2vectortiles/osm2vectortiles,25,DUPLICATE,,,,,,,
https://api.github.com/repos/Logimethods/smart-meter,25,"Microservices application for software metrics. That is another example that uses similar images for different purposes. In this case, master and slave components (e.g. ,database). They also have a testing component. ",0,1,1,1,0,1,
https://api.github.com/repos/CenterForOpenScience/osf.io,24,"Microservices web application. An intersting note about runing docker-compose in a readme file: ""useful to ensure all environment variables/volume changes are in order""",0,1,1,0,0,,
https://api.github.com/repos/OADA/oada-srvc-docker,22,"It looks like a microservice, but not clear what the project is for",,,,,,,
https://api.github.com/repos/silinternational/idp-pw-api,21,"Component based architecture as noted in the following quote. This app has testing environmnent. ""With the goal of being reusable, this application is developed with a component based architecture that allows swapping out specific components to suit your needs. All components must implement common interfaces to support this and new components can be developed to implement the interface as needed.""",0,1,0,1,0,,
https://api.github.com/repos/proofit404/asgi_rabbitmq,21,Unclear,,,,,,,
https://api.github.com/repos/intel-hpdd/intel-manager-for-lustre,21,Unclear,,,,,,,
https://api.github.com/repos/rafaeltcell/rails-waitlist,20,Unclear,,,,,,,
https://api.github.com/repos/Combitech/codefarm,20,Microservice. It is a CI platform,0,1,1,0,0,,
https://api.github.com/repos/ErnestIO/ernest,19,A set of services for managing platforms for easy deployment,tools for easy deployment,0,0,0,0,,
https://api.github.com/repos/EBIBioSamples/biosamples-v4,19,"""BioSamples stores and supplies descriptions and metadata about biological samples"" for research. They have multiple compoennts that use the same image, but with different configurations. For example, each component executes a different java projects",0,1,0,0,0,1,
https://api.github.com/repos/tom472/mediabox,19,Provide a set of independent services for media? The services are independent,0,0,0,0,Media,0,
https://api.github.com/repos/coffeine-009/Virtuoso,18,"Social network application. Another example that uses the same image for different configuration. Mongo is used by different services, each of which is using different data",0,1,0,0,0,1,
https://api.github.com/repos/Planigle/planigle,18,Each component is dedicated to testing a version of the application. It's a web application for project management. ,0,0,0,1,0,each component is used for testing a version of the app,
